position_group,metric,component,direction,weight
QB,epa_per_dropback,efficiency,higher,1
QB,cpoe,efficiency,higher,1
QB,yards_per_attempt,efficiency,higher,1
QB,sack_rate,efficiency,lower,1
QB,int_rate,efficiency,lower,1
QB,passing_epa,production,higher,1
QB,passing_yards,production,higher,1
QB,passing_tds,production,higher,1
QB,rushing_yards,production,higher,1
RB,rushing_epa_per_carry,efficiency,higher,1
RB,yards_per_carry,efficiency,higher,1
RB,receiving_epa_per_target,efficiency,higher,1
RB,rushing_yards,production,higher,1
RB,carries,production,higher,1
RB,targets,production,higher,1
RB,total_tds,production,higher,1
RB,first_downs,production,higher,1
WR,receiving_epa_per_target,efficiency,higher,1
WR,racr,efficiency,higher,1
WR,yards_per_target,efficiency,higher,1
WR,catch_rate,efficiency,higher,1
WR,receiving_yards,production,higher,1
WR,receptions,production,higher,1
WR,receiving_tds,production,higher,1
WR,target_share_avg,production,higher,1
WR,air_yards_share_avg,production,higher,1
WR,wopr_avg,production,higher,1
TE,receiving_epa_per_target,efficiency,higher,1
TE,racr,efficiency,higher,1
TE,yards_per_target,efficiency,higher,1
TE,catch_rate,efficiency,higher,1
TE,receiving_yards,production,higher,1
TE,receptions,production,higher,1
TE,receiving_tds,production,higher,1
TE,target_share_avg,production,higher,1
TE,air_yards_share_avg,production,higher,1
TE,wopr_avg,production,higher,1
K,fg_pct,efficiency,higher,1
K,fg_pct_40_plus,efficiency,higher,1
K,pat_pct,efficiency,higher,1
K,fg_made,production,higher,1
K,fg_made_50_plus,production,higher,1
K,kicker_points,production,higher,1
RB,rush_yards_over_expected_per_att,efficiency,higher,1
WR,avg_separation,efficiency,higher,1
WR,yac_over_expected,efficiency,higher,1
TE,avg_separation,efficiency,higher,1
TE,yac_over_expected,efficiency,higher,1
